Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,487671,-,-,-,22.77,5.54,1,1371,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,894,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,45,921,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,0,942,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,15,960,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,975,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,45,988,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,0,998,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,15,1007,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,1014,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,45,1009,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,0,1013,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,15,1016,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,1017,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,45,1018,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,0,1018,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,15,1015,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,1012,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
